'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
18.1129208,354,33.8921083,319.704554,320.107892
18.1333561,345,26.0592265,318.529998,318.940773
18.1537914,385,67.2146827,317.366144,317.785317
18.1742267,318,1.35854833,316.212903,316.641452
18.194662,367,51.4909741,315.070187,315.509026
18.2150974,349,34.6123073,313.937909,314.387693
18.2355327,332,18.7234536,312.815982,313.276546
18.255968,346,33.8270122,311.704319,312.172988
18.2764033,381,69.9269598,310.602835,311.07304
18.2968386,390,80.0173561,309.511443,309.982644
18.3172739,329,20.0811444,308.430057,308.918856
18.3377093,367,59.1272893,307.358593,307.872711
18.3581446,372,65.1599828,306.296966,306.840017
18.3785799,348,42.1791444,305.245091,305.820856
18.3990152,323,18.1842223,304.202884,304.815778
18.4194505,324,20.1744724,303.170261,303.825528
18.4398858,350,47.1488243,302.14714,302.851176
18.4603212,349,47.1054239,301.133437,301.894576
18.4807565,327,26.0407233,300.129069,300.959277
18.5011918,330,29.9516444,299.133955,300.048356
18.5216271,342,42.8419468,298.148012,299.158053
18.5420624,299,0.713221635,297.171159,298.286778
18.5624977,336,38.556714,296.203315,297.443286
18.5829331,336,39.3657389,295.244399,296.634261
18.6033684,337,41.1328049,294.294331,295.867195
18.6238037,279,-16.1525012,293.35303,295.152501
18.644239,345,50.4948476,292.420418,294.505152
18.6646743,317,23.0526972,291.496415,293.947303
18.6851096,346,52.4871751,290.580942,293.512825
18.705545,336,42.7446251,289.673921,293.255375
18.7259803,330,36.7373445,288.775274,293.262655
18.7464156,326,32.3196763,287.884922,293.680324
18.7668509,345,50.251743,287.002789,294.748257
18.7872862,348,51.1532049,286.128797,296.846795
18.8077215,346,45.4744987,285.262871,300.525501
18.8281569,370,63.6122965,284.404934,306.387704
18.8485922,371,56.5202497,283.55491,314.47975
18.8690275,404,81.0247781,282.712723,322.975222
18.8894628,357,29.1518222,281.8783,327.848178
18.9098981,362,35.7264244,281.051564,326.273576
18.9303334,349,29.3935785,280.232442,319.606422
18.9507688,349,38.5234832,279.42086,310.476517
18.9712041,331,29.9245744,278.616745,301.075426
18.9916394,318,24.7164163,277.820023,293.283584
19.0120747,318,30.275569,277.030622,287.724431
19.03251,325,41.0835296,276.248469,283.91647
19.0529453,327,45.7925804,275.473493,281.20742
19.0733807,305,25.8463669,274.705621,279.153633
19.093816,337,59.4998609,273.944784,277.500139
19.1142513,319,42.8976526,273.190909,276.102347
19.1346866,298,23.1247597,272.443926,274.87524
19.1551219,293,19.23394,271.703767,273.76606
19.1755572,270,-2.7390556,270.97036,272.739056
