Scan No,Y2O3LVol,Y2O3LVolerr,Y2O3LVolf,Y2O3LVolferr,Y2O3e0
332,35.285260000,43.353710000,49.329100000,60.608860000,0.000040000
333,35.100800000,43.120050000,49.071220000,60.282200000,0.000040000
334,34.997020000,43.039910000,48.926150000,60.170170000,0.000040000
335,34.996970000,43.201670000,48.926060000,60.396320000,0.000040000
336,35.271490000,43.910470000,49.309850000,61.387220000,0.000040000
337,35.021710000,43.532350000,48.960660000,60.858610000,0.000040000
338,35.247690000,44.157220000,49.276580000,61.732190000,0.000040000
339,35.283890000,44.383400000,49.327190000,62.048380000,0.000040000
340,35.417650000,44.774600000,49.514190000,62.595280000,0.000040000
341,35.616490000,45.290080000,49.792170000,63.315930000,0.000040000
342,35.527070000,45.242650000,49.667160000,63.249620000,0.000040000
343,35.467790000,45.216410000,49.584270000,63.212930000,0.000040000
344,35.541260000,45.513340000,49.686990000,63.628040000,0.000040000
345,35.508400000,45.565680000,49.641050000,63.701220000,0.000040000
346,35.798310000,46.332040000,50.046360000,64.772600000,0.000040000
347,35.814260000,46.504960000,50.068650000,65.014340000,0.000040000
348,35.769260000,46.489400000,50.005740000,64.992580000,0.000040000
349,35.853520000,46.769060000,50.123530000,65.383550000,0.000040000
350,35.872680000,46.860400000,50.150310000,65.511250000,0.000040000
351,35.894410000,47.060480000,50.180700000,65.790960000,0.000040000
352,35.854350000,47.058760000,50.124690000,65.788550000,0.000040000
353,35.690580000,46.867940000,49.895750000,65.521790000,0.000040000
354,35.704330000,46.958870000,49.914960000,65.648920000,0.000040000
355,35.759090000,47.178760000,49.991520000,65.956310000,0.000040000
356,35.721920000,47.251230000,49.939550000,66.057630000,0.000040000
357,35.657000000,47.172250000,49.848800000,65.947220000,0.000040000
358,35.764310000,47.574490000,49.998820000,66.509550000,0.000040000
359,35.647010000,47.394900000,49.834830000,66.258480000,0.000040000
360,35.758880000,47.776470000,49.991230000,66.791920000,0.000040000
361,35.706550000,47.797290000,49.918060000,66.821040000,0.000040000
362,35.973590000,48.437640000,50.291400000,67.716240000,0.000040000
363,35.154920000,46.897680000,49.146880000,65.563360000,0.000040000
364,35.532910000,47.743330000,49.675320000,66.745590000,0.000040000
365,35.856410000,48.513440000,50.127580000,67.822210000,0.000040000
366,35.250550000,47.314850000,49.280580000,66.146580000,0.000040000
367,38.639370000,55.595720000,54.018180000,77.723310000,0.000090000
368,35.978300000,48.892230000,50.297980000,68.351760000,0.000040000
369,35.916360000,48.894910000,50.211390000,68.355510000,0.000040000
370,35.921840000,48.980150000,50.219040000,68.474680000,0.000040000
371,35.905990000,48.972090000,50.196880000,68.463410000,0.000040000
372,38.585060000,55.628060000,53.942260000,77.768520000,0.000090000
373,35.872610000,48.967970000,50.150220000,68.457650000,0.000040000
374,35.830230000,48.880280000,50.090980000,68.335060000,0.000040000
375,35.948300000,49.275490000,50.256030000,68.887570000,0.000040000
376,39.020010000,56.615660000,54.550310000,79.149180000,0.000070000
377,38.821950000,56.615550000,54.273420000,79.149040000,0.000090000
378,39.078770000,56.952240000,54.632460000,79.619730000,0.000070000
379,39.036310000,56.874990000,54.573100000,79.511730000,0.000070000
380,39.089490000,57.033730000,54.647440000,79.733650000,0.000070000
381,36.440080000,50.628240000,50.943540000,70.778720000,0.000040000
382,36.528220000,50.898820000,51.066780000,71.156990000,0.000040000
383,36.433230000,50.748520000,50.933970000,70.946870000,0.000040000
